subject_id,relation_id,object_id
PID_000001625644,RID_0035,PID_000001447701
PID_000001621460,RID_0033,PID_000001447701
PID_000001616314,RID_0035,PID_000001447701
PID_000001614358,RID_0035,PID_000001447701
PID_000001611919,RID_0035,PID_000001447701
PID_000001594531,RID_0035,PID_000001447701
PID_000001589737,RID_0035,PID_000001447701
PID_000001582898,RID_0035,PID_000001447701
PID_000001573748,RID_0035,PID_000001447701
PID_000001549253,RID_0035,PID_000001447701
PID_000000821641,RID_0035,PID_000001447701
PID_000000821358,RID_0033,PID_000001447701
PID_000000820340,RID_0035,PID_000001447701
PID_000000812716,RID_0035,PID_000001447701
PID_000000812676,RID_0035,PID_000001447701
PID_000000809967,RID_0035,PID_000001447701
PID_000000806839,RID_0035,PID_000001447701
PID_000000806675,RID_0035,PID_000001447701
PID_000000796616,RID_0035,PID_000001447701
PID_000000793044,RID_0035,PID_000001447701
PID_000000784623,RID_0035,PID_000001447701
PID_000000777453,RID_0035,PID_000001447701
PID_000000769510,RID_0035,PID_000001447701
PID_000000769424,RID_0035,PID_000001447701
PID_000000769663,RID_0035,PID_000001447701
PID_000000753335,RID_0035,PID_000001447701
PID_000001833501,RID_0035,PID_000001447701
PID_000001833451,RID_0035,PID_000001447701
PID_000001824935,RID_0033,PID_000001447701
PID_000001803775,RID_0035,PID_000001447701
PID_000001800598,RID_0035,PID_000001447701
PID_000001798726,RID_0035,PID_000001447701
PID_000001785436,RID_0035,PID_000001447701
PID_000001412284,RID_0035,PID_000001447701
PID_000001401214,RID_0033,PID_000001447701
PID_000001384742,RID_0035,PID_000001447701
PID_000001383083,RID_0035,PID_000001447701
PID_000001354980,RID_0035,PID_000001447701
PID_000001351649,RID_0035,PID_000001447701
PID_000001351917,RID_0035,PID_000001447701
PID_000001328263,RID_0035,PID_000001447701
PID_000001317977,RID_0035,PID_000001447701
PID_000001314165,RID_0035,PID_000001447701
PID_000000365145,RID_0035,PID_000001447701
PID_000000336765,RID_0035,PID_000001447701
PID_000000333599,RID_0035,PID_000001447701
PID_000000333598,RID_0035,PID_000001447701
PID_000000324796,RID_0035,PID_000001447701
PID_000000325446,RID_0035,PID_000001447701
PID_000000319523,RID_0035,PID_000001447701
PID_000000318270,RID_0035,PID_000001447701
PID_000000314098,RID_0035,PID_000001447701
PID_000000310563,RID_0035,PID_000001447701
PID_000000304254,RID_0035,PID_000001447701
PID_000000302848,RID_0035,PID_000001447701
PID_000000299417,RID_0035,PID_000001447701
PID_000000290183,RID_0035,PID_000001447701
PID_000000283360,RID_0035,PID_000001447701
PID_000000280026,RID_0035,PID_000001447701
PID_000000276662,RID_0035,PID_000001447701
PID_000001287057,RID_0035,PID_000001447701
PID_000001282468,RID_0035,PID_000001447701
PID_000001241369,RID_0035,PID_000001447701
PID_000001205049,RID_0035,PID_000001447701
PID_000001179994,RID_0035,PID_000001447701
PID_000001178064,RID_0035,PID_000001447701
PID_000000567535,RID_0035,PID_000001447701
PID_000000555189,RID_0035,PID_000001447701
PID_000000540428,RID_0035,PID_000001447701
PID_000000534603,RID_0035,PID_000001447701
PID_000000532919,RID_0035,PID_000001447701
PID_000000531135,RID_0035,PID_000001447701
